PR ID,Product Requirement (PR),PR Description,SR ID,System Requirement (SR),SR Description
,,,SR-440,[STC] Reagent integration - buffer single use</br>(Accepted),The STC shall contain a buffer fill volume sufficient for a single use only
,,,SR-433,[STC] Reagent integration - buffer temperature compatibility</br>(Accepted),The STC shall contain an aqueous buffer that is compatible with TC materials at temperatures ≤ 100 °C
,,,SR-432,[STC] Reagent integration - buffer valve compatibility</br>(Accepted),The STC shall contain an aqueous buffer that is compatible with any valves or valving materials contained within the test consumable at temperatures up to and including the max System temp.
,,,SR-374,[TC] No cold chain - amplification</br>(Accepted),"While the TC is not loaded with sample, the TC shall store dry amplification reagents"
,,,SR-376,[TC] No cold chain - detection</br>(Accepted),"While the TC has not been operated by the PM, the TC shall store dry detection reagents"
,,,SR-458,[TC] Reagent integration - IPC primers</br>(Accepted),The TC shall contain nucleic acid amplification reagents that amplify DNA control templates
,,,SR-457,[TC] Reagent integration - IS1080 primers</br>(Accepted),The TC shall contain nucleic acid amplification reagents that amplify the Mycobacterium tuberculosis DNA insertion sequence IS1081
,,,SR-461,[TC] Reagent integration - IS1081 capture</br>(Accepted),The TC shall contain detection reagents that capture amplification products specific to Mycobacterium tuberculosis DNA insertion sequence IS1081
,,,SR-464,[TC] Reagent integration - IS1081 labels</br>(Accepted),The TC shall contain detection reagents that label amplification products specific to Mycobacterium tuberculosis DNA insertion sequence IS1081
,,,SR-460,[TC] Reagent integration - IS6110 capture</br>(Accepted),The TC shall contain detection reagents that capture amplification products specific to Mycobacterium tuberculosis DNA insertion sequence IS6110
,,,SR-463,[TC] Reagent integration - IS6110 labels</br>(Accepted),The TC shall contain detection reagents that label amplification products specific to Mycobacterium tuberculosis DNA insertion sequence IS6110
,,,SR-456,[TC] Reagent integration - IS6110 primers</br>(Accepted),The TC shall contain nucleic acid amplification reagents that amplify the Mycobacterium tuberculosis DNA insertion sequence IS6110
PR-59,Sample type</br>(Accepted),NAATOS TB V1 must support testing with a noninvasive tongue swab.,SR-425,[SCC] Sample type - access</br>(Accepted),The SCC shall have a shaft at least 5 cm long
,,,SR-422,[SCC] Sample type - bacteria</br>(Accepted),The SCC shall be compatible with bacterial testing
,,,SR-417,[SCC] Sample type - collection</br>(Accepted),"The SCC shall contain a regular, nylon-flocked head"
,,,SR-424,[SCC] Sample type - swab integrity</br>(Accepted),"While in the STC during processing by the SPM, the SCC shall retain structural integrity"
,,,SR-414,[SCC] Sample type - validation</br>(Accepted),The SCC shall be validated as a diagnostic specimen wherein it collects a sample from the dorsal area of the human tongue
,,,SR-427,[STC] Sample type</br>(Accepted),The STC shall be of sufficient height to completely enclose the swab head when sealed
PR-58,Specimen use</br>(Obsolete),NAATOS TB V1 must be able to provide a definitive diagnostic result from a single tongue swab specimen.,,,
PR-61,Training and education</br>(Accepted),NAATOS TB V1 must be able to be operated by a user after reading IFU.,SR-298,[PM] Training and education</br>(Accepted),The PM shall provide graphics that indicate correct alignment of test device insertion
,,,SR-247,[SPM] Training and education</br>(Accepted),The SPM shall have graphics that indicate a method for opening the lid
,,,SR-248,[SPM] Training and education</br>(Accepted),The SPM shall have graphics that indicate the correct placement of the tube in the tube holder
PR-49,User variability</br>(Obsolete),NAATOS TB V1 must tolerate ±33% variability of lysed sample volume introduced by user into test device.,,,
